id,x,y,z,yaw,pitch,roll
1,-285.179,226.418,-12.4609,2.45198,0.0194695,0.0464087
2,-285.416,226.612,-12.4295,2.45165,0.0222411,0.0439371
3,-285.622,226.812,-12.4158,2.45294,0.0235252,0.043252
4,-285.846,226.999,-12.5006,2.45309,0.0184721,0.0387384
5,-286.047,227.183,-12.5473,2.4544,0.0151086,0.038457
6,-286.256,227.363,-12.5583,2.45408,0.0149369,0.0391366
7,-286.459,227.545,-12.4516,2.45456,0.022726,0.042115
8,-286.672,227.732,-12.4391,2.45528,0.0250347,0.0429797
9,-286.88,227.909,-12.4476,2.45538,0.0178176,0.042039
10,-287.076,228.061,-12.4088,2.45442,0.0205982,0.0475188
11,-287.267,228.22,-12.3912,2.45448,0.0197397,0.050063
12,-287.468,228.378,-12.3917,2.45278,0.0214617,0.0528898
13,-287.662,228.556,-12.4794,2.45258,0.0166815,0.0550434
14,-287.842,228.72,-12.539,2.45418,0.0083397,0.0523735
15,-288.029,228.87,-12.4781,2.45347,0.0121737,0.0551086
16,-288.206,229.017,-12.4636,2.45341,0.0157727,0.054399
17,-288.377,229.169,-12.4799,2.45499,0.0189505,0.0545901
18,-288.551,229.316,-12.5072,2.45493,0.0194783,0.0536101
19,-288.71,229.477,-12.5528,2.45478,0.0162064,0.0470794
20,-288.859,229.622,-12.5278,2.45588,0.0193941,0.0436315
21,-289.025,229.759,-12.5673,2.45673,0.0118124,0.0417393
22,-289.182,229.879,-12.6003,2.45636,0.0121539,0.0461227
23,-289.326,230.008,-12.6244,2.45625,0.0125926,0.0457596
24,-289.471,230.126,-12.6295,2.4564,0.0155695,0.0488484
25,-289.618,230.269,-12.6237,2.45863,0.0175306,0.0506416
26,-289.769,230.403,-12.6226,2.4587,0.0174644,0.0522587
27,-289.905,230.509,-12.6243,2.45685,0.0161739,0.0513455
28,-290.041,230.643,-12.6015,2.45813,0.0157174,0.0482074
29,-290.193,230.769,-12.6105,2.45866,0.0144025,0.0460162
30,-290.318,230.872,-12.5959,2.45807,0.0156587,0.0466914
31,-290.462,231.008,-12.5968,2.45979,0.0131498,0.045587
32,-290.573,231.1,-12.5868,2.45874,0.0130303,0.047079
33,-290.697,231.223,-12.5913,2.4603,0.0046396,0.0440631
34,-290.825,231.328,-12.6008,2.45926,-0.00276836,0.04632
35,-290.964,231.453,-12.5981,2.45862,-0.0129067,0.0435378
36,-291.082,231.562,-12.6179,2.45898,-0.0144222,0.0409046
37,-291.212,231.663,-12.5979,2.45865,0.00277399,0.0464851
38,-291.321,231.769,-12.621,2.46009,0.0118188,0.0441015
39,-291.44,231.867,-12.6292,2.4599,0.0131588,0.0431251
40,-291.56,231.972,-12.6013,2.45981,0.0136785,0.0481748
41,-291.712,232.085,-12.6859,2.45769,0.00254968,0.0542466
42,-291.838,232.188,-12.6688,2.45759,0.00550618,0.061544
43,-291.953,232.281,-12.6635,2.45748,0.0084794,0.0644528
44,-292.08,232.398,-12.6685,2.45802,0.00831633,0.0625442
45,-292.194,232.513,-12.6615,2.45896,0.0107766,0.0561963
46,-292.302,232.607,-12.6585,2.45906,0.0118722,0.0549999
47,-292.421,232.704,-12.6587,2.45911,0.011852,0.0557305
48,-292.541,232.81,-12.6581,2.45739,0.0129328,0.0581837
49,-292.66,232.914,-12.6668,2.45777,0.0145122,0.0583049
50,-292.777,233.01,-12.7069,2.45731,0.00937624,0.058451
51,-292.891,233.109,-12.6941,2.45758,0.0108283,0.059637
52,-293.019,233.214,-12.6782,2.45719,0.0123082,0.0591101
53,-293.15,233.323,-12.6932,2.45752,0.01331,0.0583952
54,-293.274,233.418,-12.6978,2.45754,0.0138609,0.0573392
55,-293.408,233.564,-12.6977,2.45845,0.0121904,0.0528959
56,-293.538,233.668,-12.6955,2.45541,0.00861653,0.0538514
57,-293.662,233.785,-12.6866,2.45713,0.0111422,0.0541871
58,-293.795,233.898,-12.6823,2.45977,0.00798706,0.0554279
59,-293.918,234.004,-12.6657,2.45977,0.00928167,0.0564924
60,-294.055,234.142,-12.6986,2.45932,0.00334463,0.0553537
61,-294.188,234.243,-12.686,2.45707,0.00197044,0.0591838
62,-294.314,234.356,-12.6884,2.4567,0.0033079,0.0614898
63,-294.447,234.469,-12.6777,2.45744,0.00611817,0.063648
64,-294.585,234.592,-12.6963,2.45669,0.00638476,0.0627973
65,-294.715,234.703,-12.705,2.4567,0.00648935,0.0614337
66,-294.846,234.82,-12.6959,2.45758,0.00712841,0.0611184
67,-294.973,234.932,-12.6939,2.45726,0.00498738,0.0588568
68,-295.116,235.056,-12.7049,2.45646,0.00456057,0.057987
