id,x,y,z,yaw,pitch,roll
1,-285.779,226.933,-12.6244,2.44967,0.0111017,0.0303461
2,-285.779,226.933,-12.6244,2.44967,0.0111017,0.0303461
3,-285.779,226.933,-12.6244,2.44967,0.0111017,0.0303461
4,-285.779,226.933,-12.6244,2.44967,0.0111017,0.0303461
5,-285.779,226.933,-12.6244,2.44967,0.0111017,0.0303461
6,-286.001,227.134,-12.6308,2.45021,0.0107552,0.0305326
7,-286.205,227.325,-12.6285,2.44955,0.01052,0.0303023
8,-286.423,227.5,-12.6261,2.45005,0.00960116,0.0317189
9,-286.635,227.679,-12.637,2.4505,0.00801392,0.0329436
10,-286.845,227.851,-12.6234,2.45122,0.00678129,0.032396
11,-287.044,228.023,-12.5988,2.45116,0.00305249,0.032747
12,-287.234,228.182,-12.6089,2.45111,-0.00154366,0.0345758
13,-287.425,228.342,-12.6307,2.45079,-0.00347622,0.0361698
14,-287.617,228.497,-12.6436,2.45019,-0.00286437,0.0379466
15,-287.797,228.662,-12.6525,2.45054,-0.00134901,0.038618
16,-287.975,228.815,-12.6401,2.45105,-0.000320105,0.0384866
17,-288.157,228.962,-12.6576,2.45131,-0.000191457,0.0401335
18,-288.34,229.119,-12.677,2.45182,0.00178092,0.041261
19,-288.508,229.26,-12.6943,2.4529,0.00497418,0.0417469
20,-288.659,229.416,-12.6775,2.45284,0.00667571,0.0384322
21,-288.831,229.546,-12.6751,2.45293,0.00631159,0.0372898
22,-288.986,229.671,-12.6745,2.45388,0.00587018,0.0371328
23,-289.126,229.819,-12.6937,2.45346,0.0066139,0.0385796
24,-289.299,229.948,-12.7202,2.45325,0.00948876,0.0415486
25,-289.448,230.077,-12.7266,2.45394,0.0116951,0.0425992
26,-289.603,230.227,-12.7227,2.45496,0.0138403,0.0443296
27,-289.736,230.347,-12.7128,2.45519,0.0144924,0.0450464
28,-289.895,230.468,-12.7004,2.45446,0.0135665,0.0452682
29,-290.042,230.589,-12.7014,2.45539,0.0121886,0.0454187
30,-290.173,230.692,-12.7162,2.45691,0.0094715,0.0466984
31,-290.345,230.797,-12.7153,2.45729,0.00821236,0.0456216
32,-290.492,230.91,-12.6988,2.45871,0.00565201,0.0436957
33,-290.619,231.033,-12.6998,2.45779,0.00208088,0.0438027
34,-290.752,231.149,-12.6855,2.45748,-0.000182354,0.0419243
35,-290.843,231.302,-12.603,2.45692,-0.00574584,0.0367045
36,-290.98,231.427,-12.6106,2.45587,-0.0135581,0.0363406
37,-291.114,231.53,-12.6828,2.45634,-0.0145266,0.0375456
38,-291.243,231.628,-12.7593,2.45626,-0.00925394,0.0405867
39,-291.368,231.694,-12.7917,2.45683,-0.00051324,0.0422357
40,-291.459,231.815,-12.7524,2.45734,0.0050979,0.0410874
41,-291.588,231.932,-12.7285,2.45668,0.00280332,0.0431824
42,-291.744,232.029,-12.7493,2.45603,-0.000821438,0.0505048
43,-291.89,232.11,-12.7662,2.45508,-0.00118748,0.0557568
44,-291.998,232.214,-12.7593,2.45469,0.00180285,0.0572679
45,-292.106,232.314,-12.7551,2.45498,0.00404528,0.0557907
46,-292.209,232.408,-12.7561,2.45569,0.00686411,0.0503479
47,-292.314,232.505,-12.7511,2.45634,0.0073134,0.0483056
48,-292.44,232.636,-12.7313,2.45682,0.00576018,0.046547
49,-292.552,232.721,-12.7577,2.45527,0.00419352,0.0502134
50,-292.674,232.834,-12.7766,2.45471,0.00451922,0.0513313
51,-292.774,232.943,-12.7546,2.45537,0.00614933,0.0502933
52,-292.873,233.04,-12.7494,2.45423,0.00639129,0.049642
53,-292.97,233.154,-12.7404,2.4529,0.00771037,0.0455423
54,-293.101,233.255,-12.7671,2.45425,0.0105839,0.0462055
55,-293.192,233.326,-12.7449,2.45485,0.012611,0.0465689
56,-293.338,233.497,-12.7084,2.455,0.00923849,0.0422117
57,-293.477,233.607,-12.727,2.45362,0.00111592,0.0407311
58,-293.609,233.67,-12.7504,2.45309,-0.00120053,0.0402203
59,-293.757,233.77,-12.7705,2.45549,-0.000880893,0.0450845
