id,x,y,z,yaw,pitch,roll
1,1772.35,866.263,0,0.0229623,-0.00148718,-0.0379086
2,1773.02,866.291,0,0.0239933,-0.00127058,-0.0238087
3,1773.25,866.283,0,0.023924,-0.00368734,-0.029991
4,1773.51,866.317,0,0.0241488,-0.0037185,-0.0180139
5,1773.9,866.326,0,0.0240374,-0.00498755,-0.0169766
6,1774.29,866.336,0,0.024313,-0.00765839,-0.0152178
7,1774.62,866.343,0,0.0251434,-0.0046937,-0.0197145
8,1774.95,866.258,0,0.0226018,-0.00520556,-0.0696327
9,1775.47,866.379,0,0.0248113,-0.00611574,-0.00743785
10,1775.81,866.363,0,0.0242464,-0.0078548,-0.0176629
11,1776.28,866.368,0,0.0246644,-0.00603301,-0.0173805
12,1776.69,866.388,0,0.0242577,-0.0048667,-0.0107656
13,1776.99,866.41,0,0.024564,-0.00736359,0.000133166
14,1777.36,866.415,0,0.0244691,-0.00735809,-0.00148859
15,1777.77,866.396,0,0.0245693,-0.00802979,-0.0147019
16,1778.2,866.392,0,0.0241973,-0.0112475,-0.0186435
17,1778.67,866.398,0,0.0242457,-0.0126227,-0.0189788
18,1778.97,866.405,0,0.0240161,-0.0131098,-0.0212796
19,1779.43,866.401,0,0.024866,-0.0138638,-0.0203503
20,1779.88,866.396,0,0.0245169,-0.0119026,-0.0274021
21,1780.26,866.4,0,0.0248764,-0.0146204,-0.0262162
22,1780.7,866.381,0,0.0241909,-0.0143145,-0.0457455
23,1781.2,866.367,0,0.0221425,-0.00712512,-0.074935
24,1781.52,866.366,0,0.0230169,0.00136663,-0.0781854
25,1781.95,866.417,0,0.0223727,-0.000480285,-0.0575043
26,1782.35,866.444,0,0.0224017,-0.00105645,-0.0440341
27,1782.78,866.447,0,0.0233352,-0.0017558,-0.0429409
28,1783.2,866.444,0,0.0229732,-0.00136558,-0.0495937
29,1783.64,866.444,0,0.0236249,-0.00338244,-0.0508231
30,1784.08,866.51,0,0.0238489,-0.00421644,-0.032183
31,1784.55,866.51,0,0.023421,-0.0053161,-0.0341829
32,1785.05,866.542,0,0.0262686,-0.00520135,-0.0176936
33,1785.46,866.496,0,0.0253013,0.000222836,-0.0504898
34,1785.88,866.452,0,0.0259204,-0.000747561,-0.0679848
35,1786.23,866.445,0,0.0251843,-0.00299842,-0.0698353
36,1786.63,866.506,0,0.024827,-0.00682881,-0.0494565
37,1787.04,866.595,0,0.0247862,-0.00688493,-0.0281638
38,1787.45,866.607,0,0.024682,-0.00699007,-0.024737
39,1787.91,866.572,0,0.0257307,-0.00116876,-0.0336192
40,1788.34,866.496,0,0.027025,-0.00189096,-0.0622927
41,1788.79,866.493,0,0.0275461,-0.00233764,-0.0714396
42,1789.16,866.48,0,0.0266334,0.000501732,-0.0723434
43,1789.62,866.501,0,0.0276556,-0.00152493,-0.0711082
44,1790.03,866.547,0,0.0272632,-0.00178944,-0.062178
45,1790.45,866.553,0,0.0279214,-0.000890539,-0.0638231
46,1790.9,866.709,0,0.0301463,0.00378924,-0.0060688
47,1791.37,866.716,0,0.0311726,0.00387892,-0.00399198
48,1791.77,866.729,0,0.0315653,0.00258104,-0.00144388
49,1792.22,866.742,0,0.0326615,0.00018807,0.000843174
50,1792.64,866.737,0,0.0323008,0.00135559,-0.0031191
51,1793.06,866.729,0,0.0331148,0.00112758,-0.00718617
52,1793.46,866.695,0,0.0334194,0.0043115,-0.0189024
53,1793.87,866.69,0,0.0335912,0.00314632,-0.0211165
54,1794.3,866.703,0,0.0338856,0.00253722,-0.0209526
55,1794.78,866.776,0,0.0335878,-0.00071504,-0.00754711
56,1795.14,866.77,0,0.0335735,-0.00363025,-0.0128998
57,1795.53,866.785,0,0.0344396,-0.00430641,-0.0106462
58,1795.96,866.801,0,0.0340487,-0.00391364,-0.00816171
59,1796.37,866.821,0,0.0343578,-0.00230957,-0.0040358
60,1796.88,866.844,0,0.0342259,-0.0049061,-0.00340042
61,1797.3,866.839,0,0.0347173,-0.00439775,-0.0037808
62,1797.74,866.852,0,0.0349679,-0.00326855,-0.00278767
63,1798.18,866.868,0,0.0354485,-0.00364658,-0.00068581
64,1798.6,866.884,0,0.0357953,-0.00531505,5.65811E-06
65,1798.94,866.885,0,0.0363812,-0.00653989,-0.00220018
66,1799.36,866.928,0,0.036421,-0.00853243,0.0051748
67,1799.84,866.959,0,0.036545,-0.0114627,0.0106427
68,1800.3,866.966,0,0.036878,-0.0110137,0.00921763
69,1800.7,866.981,0,0.0370948,-0.0127551,0.0107858
70,1801.13,866.98,0,0.0371032,-0.0143684,0.00836682
71,1801.55,866.984,0,0.0370012,-0.0155175,0.00533559
72,1801.9,866.988,0,0.0371641,-0.015214,0.00297811
73,1802.34,866.996,0,0.0379108,-0.0168001,0.000567996
74,1802.76,867.01,0,0.0380031,-0.0210375,0.000231115
75,1803.26,867.025,0,0.0389673,-0.0218227,0.00120449
76,1803.6,867.031,0,0.0389711,-0.0226784,0.00267871
77,1804.02,867.041,0,0.0392978,-0.0181051,0.00416016
78,1804.26,867.031,0,0.0401532,-0.0177599,-0.000467105
79,1804.52,867.046,0,0.0401036,-0.0176494,0.000537786
80,1805.35,867.092,0,0.0395572,-0.0203424,0.00698471
